Species Name,year_first_described,first_paper
Microsporidium fimbriatum,1983,"Lord, Jeffrey C., and Donald W. Hall. “A New Microsporidian Parasite of the Mosquito Aedes Taeniorhynchus.” Journal of Invertebrate Pathology 41, no. 3 (May 1983): 301–304. https://doi.org/10.1016/0022-2011(83)90246-X."
Microsporidium oligochaetae,1983,"Purrini, Von Kurtesh. “Microsporidium enchytreidorum n. sp. and Microsporidium oligochaetae n. sp. (Microsporida: Phylum Microspora) zwei neue Mikrosporidien-Arten in den Vesiculae seminales bei Enchytreiden (Oligoechaeta: Annelida).” Archiv für Protistenkunde 127, no. 2 (January 1983): 151–58. https://doi.org/10.1016/S0003-9365(83)80031-1."
Nosema apicalis,1983,"Maddox, J.V., and D.W. Webb. “A New Species of Nosema from Hylobittacus Apicalis (Insecta: Mecoptera: Bittacidae).” Journal of Invertebrate Pathology 42, no. 2 (September 1983): 207–20. https://doi.org/10.1016/0022-2011(83)90063-0."
Nosema manierae,1983,"Toguebaye B-S, Bouix G. Nosema manierae sp.n., Microsporidie parasite de Chilo zacconius Blezenski 1970 (Lepidoptera: Pyralidae), hôte naturel, et Heliothis armigera (Hübner 1808) (Lepidoptera: Noctuidae), hôte expérimental: Cycle évolutif et ultrastructure. Z Parasitenkd. 1983;69:191–205."
Nosema ptinidorum,1983,"Purrini, K. “Über zwei Protozoen-Arten, Adelina tribolii Bhatia comb. nov. (Coccidia) und Nosema ptinidorum n. sp. (Microsporidia) als Krankheitserreger der vorratsschädlichen Käfer Ptinus pusillus Strm. und P. brunneus Dft. (Col., Ptinidae)1.” Zeitschrift für Angewandte Entomologie 95, no. 1–5 (August 26, 2009): 477–82. https://doi.org/10.1111/j.1439-0418.1983.tb02671.x."
Nosema wistmansi,1983,"Canning, Elizabeth U., Peter J. Wigley, and Rosalind J. Barker. “The Taxonomy of Three Species of Microsporidia (Protozoa: Microspora) from an Oakwood Population of Winter Moths Operophtera Brumata (L.) (Lepidoptera: Geometridae).” Systematic Parasitology 5, no. 2 (June 1983): 147–159. https://doi.org/10.1007/BF00049242."
Octosporea collembolae,1983,"Purrini, K. “Octosporea Collembolae n. Sp. (Microsporida, Microspora): A New Microsporidian Parasite of Springtail Onychiurus Quadriocellatus (0nychiuridae:Collembolae).” Journal of Invertebrate Pathology 42 (1983): 135–42."
Thelohania capillata,1983,"Larsson, Ronny. “Thelohania Capillata n. Sp. (Microspora, Thelohaniidae) — An Ultrastructural Study with Remarks on the Taxonomy of the Genus ThelohaniaHenneguy, 1892.” Archiv Für Protistenkunde 127, no. 1 (January 1983): 21–46. https://doi.org/10.1016/S0003-9365(83)80003-7."
Unikaryon slaptonleyi,1983,"Sene A, Ba C, Marchand B, Toguebaye B. Ultrastructure of Unikaryon nomimoscolexi n. sp. (Microsporida, Unikaryonidae), a parasite of Nomimoscolex sp. (Cestoda, Proteocephalidea) from the gut of Clarotes laticeps (Pisces, Teleostei, Bagridae). Dis Aquat Org. 1997;29:35–40."
Amblyospora indicola,1984,"Sweeney AW, Doggett SL, Piper RG. Host specificity studies of Amblyospora indicola and Amblyospora dyxenoides (Microspora: Amblyosporidae) in mosquitoes and copepods. J Invertebr Pathol. 1990;56:415–8."
Gurleya pontica,1984,"Ovcharenko. “GURLEYA PONTICA SP. N. (MICROSPORIDIA, THELOHAN11 DAE) — НОВЫЙ ВИД МИКРОСПОРИДИЙ ИЗ КРЕВЕТОК PALAEMON ELEGANS (CRUSTACEA, DECAPODA),” n.d."
Nosema sp. 29,1984,"Malone, L. A., G. M. Barker, and R. P. Pottinger. “Some Protozoan Pathogens of the Argentine Stem Weevil, Listronotus Bonariensis (Coleoptera: Curculionidae), in New Zealand.” New Zealand Entomologist 8, no. 1 (January 1984): 124–27. https://doi.org/10.1080/00779962.1984.9722485."
Orthosoma sp.,1984,"Malone, L. A., G. M. Barker, and R. P. Pottinger. “Some Protozoan Pathogens of the Argentine Stem Weevil, Listronotus Bonariensis (Coleoptera: Curculionidae), in New Zealand.” New Zealand Entomologist 8, no. 1 (January 1984): 124–27. https://doi.org/10.1080/00779962.1984.9722485."
Pleistophora carabidorum,1984,"Purrini, Kurtesh. “Pleistophora Carabidorum n. Sp. (Microsporida, Microspora) — a New Microsporidian Parasitizing Reproductive Organ of Beetle Amara AeneaDeg. (Carabidae, Coleoptera).” Archiv Für Protistenkunde 128, no. 3 (January 1984): 265–71. https://doi.org/10.1016/S0003-9365(84)80014-7."
Unikaryon matteii,1984,"Toguebaye, Bhen Sikina, and Bernard Marchand. “Etude Ultrastructurale de Unikaryon matteii n. sp. (Microsporida, Unikaryonidae) Parasite de Nisotra sp. (Coleoptera, Chrysomelidae) et Remarques sur la Validité de Certaines Nosema d’Insectes.” The Journal of Protozoology 31, no. 2 (May 1984): 339–46. https://doi.org/10.1111/j.1550-7408.1984.tb02973.x."
Vairimorpha hybomitrae,1984,"Bykova, Kh I. “Microsporidian Vairimorpha Hybomitrae (=Nosema Hybomitrae) in Gadflies of the Genus Hybomitra in Karelia.” Parazitologiia 18, no. 3 (January 5, 1984): 247–249."
Vavraia cyclocypris,1984,"Воронин ВH, Мельникова ОЮ, Voronin VN, Melnikova OY. Vavraia cyclocypris sp. n. — первая находка микроспоридий (Microsporida) из остракод (Ostracoda, Crustacea). Parazitologiya. 1984;18:428–84."
Amblyospora sp. 37,1985,"Lukes J, Vavra J. Microsporidium aedium n. sp., from the mosquito Aedes cantans. J Invertebr Pathol. 1991;58:274–6."
Enterocytozoon bieneusi,1985,"Desportes I, Le Charpentier Y, Galian A, Bernard F, Cochand-Priollet B, Lavergne A, et al. Occurrence of a new microsporidan: Enterocytozoon bieneusi n.g., n. sp., in the enterocytes of a human patient with AIDS. J Protozool. 1985;32:250–4."
Glugea malabaricii,1985,"Narasimhamurti, C C. “A New Microsporidian Glugea Malabaricii Sp. n. from the Viscera of Carangoides Malabaricus Bl.” Acta Protozoologica 24, no. 2 (1985): 153–164."
Loma diplodae,1985,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296."
Loma trichiuri,1985,"Sandeep BV, Kalavati C. A new microsporidian, Loma trichiuri n. sp., from the gill of a marine fish, Trichiurus savala Cuv. (Trichiuridae). Indian Journal of Parasitology. 1985;9:257–9."
Microsporidium itiiti (Endoreticulatus itiiti),1985,"Malone, Louise A. “A New Pathogen, Microsporidium Itiiti n. Sp. (Microsporida), from the Argentine Stem Weevil, Listronotus Bonariensis (Coleoptera, Curculionidae) 1.” The Journal of Protozoology 32, no. 3 (August 1985): 535–41. https://doi.org/10.1111/j.1550-7408.1985.tb04057.x"
Microsporidium novacastriensis,1985,"Jones, Andrew A., and Brian J. Selman. “Microsporidium Novacastriensis n. Sp., a Microsporidian Parasite of the Grey Field Slug, Deroceras Reticulatum 1 , 2.” The Journal of Protozoology 32, no. 4 (November 1985): 581–86. https://doi.org/10.1111/j.1550-7408.1985.tb03081.x."
Nosema bordati,1985,"Bordat D, Goudegnon AE, Bouix G. Influence of Nosema bordati (Microsporida: Nosematidae) on the biological cycle of Chilo partellus (Lep: Pyralidae), a stem borer of cultivated graminae. Entomophaga. 1993;38:551–64."
Nosema epilachnae,1985,"Brooks, W. M., E. I. Hazard, and J. Becnel. “Two New Species of Nosema (Microsporida: Nosematidae) from the Mexican Bean Beetle Epilachna Varivestis (Coleoptera: Coccinellidae) 1 , 2.” The Journal of Protozoology 32, no. 3 (August 1985): 525–35. https://doi.org/10.1111/j.1550-7408.1985.tb04056.x."
Nosema pariacanthi,1985,"Sandeep BV, Kalavati C. A new microsporidian, Nosema pariacanthi n. sp. from the liver of a marine fish, Priacanthus boops. Indian Journal of Parasitology. 1985;9:253–5."
Nosema varivestis,1985,"Brooks, W. M., E. I. Hazard, and J. Becnel. “Two New Species of Nosema (Microsporida: Nosematidae) from the Mexican Bean Beetle Epilachna Varivestis (Coleoptera: Coccinellidae) 1 , 2.” The Journal of Protozoology 32, no. 3 (August 1985): 525–35. https://doi.org/10.1111/j.1550-7408.1985.tb04056.x."
Parathelohania costatus,1985,Pankova TF. Experimental study of the transmission of microsporidians in bloodsucking mosquitoes from the southern part of West Siberia. Parazitologiya. 1985;19:296–300.
Telomyxa orae,1985,"Hazard, E. I., and B. A. Federici. “Ultrastructure and Description of a New Species of Telomyxa (Microspora: Telomyxidae) from the Semiaquatic Beetle, Ora Texana Champ. (Coleoptera: Helodidae) 1.” The Journal of Protozoology 32, no. 1 (February 1985): 189–194. https://doi.org/10.1111/j.1550-7408.1985.tb03037.x."
Encephalitozoon vrevi,1986,"Voronin V. THE ULTRASTRUCTURE OF ENCEPHALITOZOON VREVI SP-N (PROTOZOA, MICROSPORIDIA) FROM THE CYCLOPE MACROCYCLOPS-DISTINCTUS (RICH) (CRUSTACEA, COPEPODA). Tsitologiya. 1991;33:9–14."
Episeptum inversum,1986,"Larsson, J.I.R. 1986. Ultracytology of a tetrasporoblastic microsporidium of the caddisfly Holocentropus picicornis (Trichoptera, Polycentropodidae), with description of Episeptum inversum gen. et sp. nov. (Microspora, Gurleyidae). Archiv für Protistenkunde. 131:257-279"
Episeptuni inversum,1986,"Larsson R. Ultracytology of a Tetrasporoblastic Microsporidium of the Caddis fly Holocentropus picicornis (Trichoptera, Polycentropodidae), with Description of Episeptuni inversum gen.et sp. nov. (Microspora, Gurleyidae). Archiv für Protistenkunde. 1986;131:257–79."
Glugea americanus,1986,"Takvorian, Peter M., and Ann Cali. “The Ultrastructure of Spores (Protozoa: Microsporida) from Lophius Americanus , the Angler Fish 1.” The Journal of Protozoology 33, no. 4 (November 1986): 570–75. https://doi.org/10.1111/j.1550-7408.1986.tb05664.x."
Microgemma hepaticus,1986,"Ralphs JR, Matthews RA. Hepatic microsporidiosis of juvenile grey mullet, Chelon labrosus (Risso), due to Microgemma hepaticus gen.nov. sp.nov. J Fish Diseases. 1986;9:225–42."
Microsporidium ceylonensis,1986,"Canning EU, Curry A, Vávra J, Bonshek RE. Some ultrastructural data on Microsporidium ceylonensis, a cause of corneal microsporidiosis. Parasite. 1998;5:247–54."
Microsporidium rhabdophilum,1986,"Poinar G, Hess R. Microsporidium rhabdophilum sp. n. (Microsporida: Pansporoblastina), a parasite of the nematode, Rhabditis myriophila (Rhabditina: Rhabditidae). Revue Nematol. 1986;9:369–75."
Nosema birgii,1986,"Toguebaye, B. S., and B. Marchand. “Etude d’une Infection Microsporidienne Due/l Nosema Birgii n.Sp. (Microsporida, Nosematidae) Chez Mesoplatys Cincta Olivier, 1790 (Coleoptera, Chrysomelidae).” Zeitschrift F�r Parasitenkunde Parasitology Research 72 (1986): 723–37."
Nosema galerucellae,1986,"Toguebaye BS, Bouix G. Nosema galerucellae n. sp., Microsporidian (Protozoa, Microspora), parasite of Galerucella luteola Müller (Chrysomelidae, Coleoptera): Development cycle and ultrastructure. European Journal of Protistology. 1989;24:346–53."
Nosema melasomae,1986,"Yaman M. Re-record and Spore Ultrastructure of Nosema melasomae Si-dor & Jodal 1986, a Microsporidian Pathogen of Crysomela populi (Coleoptera: Chrysomelidae). Iranian Journal of Parasitology. Tehran University of Medical Sciences; 2018;13:244–50."
Pleistophora tanzaniae,1986,"Purrini, Kurtesh, and Gert-Wieland Kohring. “Light- and Electron Microscopic Studies on a New Microsporidian, Pleistophora Tanzaniae n. Sp. (Microsporida: Microspora) Parasitizing the Orydes Monoceros OLIV. (Scarabaeidae, Coleoptera).” Archiv Für Protistenkunde 131, no. 3–4 (January 1986): 281–86. https://doi.org/10.1016/S0003-9365(86)80048-3."
Pyrotheca hydropsycheae,1986,"Xie, W.-D., and Elizabeth U. Canning. “Pyrotheca Hydropsycheae N. Sp., a Microsporidian Parasite of Caddis Fly Larvae, Hydropsyche Siltalai Döhler, 1963 (Trichoptera, Hydropsychidae) 1.” The Journal of Protozoology 33, no. 4 (November 1986): 462–467. https://doi.org/10.1111/j.1550-7408.1986.tb05642.x."
Vairimorpha invictae,1986,"Jouvenaz, Donald P., and E. Ann Ellis. “Vairimorpha Invictae N. Sp. (Microspora: Microsporida), a Parasite of the Red Imported Fire Ant, Solenopsis Invicta Buren (Hymenoptera: Formicidae) 1 2.” The Journal of Protozoology 33, no. 4 (November 1986): 457–61. https://doi.org/10.1111/j.1550-7408.1986.tb05641.x."
Abelspora portucalensis,1987,"Azevedo, Carlos. “Fine Structure of the Microsporidan Abelspora Portucalensis Gen.n., Sp.n. (Microsporida) Parasite of the Hepatopancreas of Carcinus Maenas (Crustacea, Decapoda).” Journal of Invertebrate Pathology 49, no. 1 (January 1987): 83–92. https://doi.org/10.1016/0022-2011(87)90129-7"
Cucumispora dikerogammari,1987,"Ovcharenko NA, Vita I. New data on microsporidium Nosema dikerogammari. Parazitologiya. 1996;30:335."
Neonosemoides tilapiae,1987,"Fomena A, Coste F, Bouix G. Occurrence of Neonosemoides tilapiae (Sakiti & Bouix, 1987) (Protozoa, Microspora) in a continental freshwater cichlid fish in Cameroon. Afr Zool. 1996;110:351–5."
Nosema dikerogammari,1987,"Ovcharenko, N A, and D P Kurandina. “NEW SPECIES OF MICROSPORIDIA FROM AMPHIPODS OF THE DNIEPER BASIN.” Parazitologiya 21, no. 6 (1987): 710–715."
Nosema liturae,1987,"Li SP, Wenn CS. Nosema liturae sp. n., a new species of microsporidia from the cotton leafworm, Spodoptera litura. Scientia Agricultura Sinica. 1987;20:71–4."
Nosema pontogammari,1987,"Ovcharenko, N A, and D P Kurandina. “NEW SPECIES OF MICROSPORIDIA FROM AMPHIPODS OF THE DNIEPER BASIN.” Parazitologiya 21, no. 6 (1987): 710–715."
Nosema sp. 30,1987,"Mercer, C. F., and P. J. Wigley. “Microsporidian Pathogen of the Poroporo Stem Borer, Sceliodes Cordalis (Dbld) (Lepidoptera:Pyralidae).” Journal of Invertebrate Pathology 49 (1987): 93–101."
Ovavesicula popilliae,1987,"Hanula JL, Andreadis TG. Comparative histopathology of infection by Ovavesicula popilliae [Microsporida: Pleistophoridae] in larval and adult Japanese beetles,Popillia japonica. Entomophaga. 1990;35:247–55"
Perezia dichroplusae (Liebermannia dichroplusae),1987,"Lange, Carlos E. “A New Species of Perezia (Microsporida: Pereziidae) from the Argentine Grasshopper Dichroplus Elongatus (Orthoptera: Acrididae)1.” The Journal of Protozoology 34, no. 1 (February 1987): 34–39. https://doi.org/10.1111/j.1550-7408.1987.tb03128.x."
Tubulinosema maroccanus,1987,"Issi, Irma V, Yuri S Tokarev, Elena V Seliverstova, and Elena S Nassonova. “Specified Ultrastructural Data on Tubulinosema Maroccanus Comb. Nov. (Nosema Maroccanus Krilova et Nurzhanov, 1987) (Microsporidia) from the Moroccan Locust Dociostaurus Maroccanus (Orthoptera).” Acta Protozoologica, 2008, 10."
Unikaryon euzeti,1987,"Toguebaye, Bhen S., and Bernard Marchand. “Cytologie et taxonomie d’une microsporidie du genre Unikaryon (Microspora, Unikaryonidae) parasite du Mylabris vestita (Coleoptera, Meloidae).” Canadian Journal of Zoology 66, no. 2 (February 1, 1988): 364–367. https://doi.org/10.1139/z88-053."
Agmasoma aquinoae,1988,"Enriquez, Gloria L., and Victor Sprague. “Note to Establish as a New Species a Previously Reported Microsporidium of Philippine Prawns 1.” The Journal of Protozoology 35, no. 2 (May 1988): 320–21. https://doi.org/10.1111/j.1550-7408.1988.tb04350.x."
Amblyospora connecticus,1988,"Andreadis, Theodore G. “Amblyospora Connecticus Sp. Nov. (Microsporida: Amblyosporidae): Horizontal Transmission Studies in the Mosquito Aedes Cantator and Formal Description.” Journal of Invertebrate Pathology 52, no. 1 (July 1988): 90–101. https://doi.org/10.1016/0022-2011(88)90107-3"
Amblyospora dyxenoides,1988,"Sweeney AW, Doggett SL, Piper RG. Host specificity studies of Amblyospora indicola and Amblyospora dyxenoides (Microspora: Amblyosporidae) in mosquitoes and copepods. J Invertebr Pathol. 1990;56:415–8."
Amblyospora pinensis,1988,"Kettle, Douglas S., and Richard G. Piper. “Light and Electron Microscope Studies on Three New Species of Microsporidia from Saltmarsh Mosquitoes in Australia.” European Journal of Protistology 23, no. 3 (July 1988): 229–41. https://doi.org/10.1016/S0932-4739(88)80039-7."
Ameson atlanticum,1988,"Vivares, C. P., and C. Azevedo. “Ultrastructural Observations of the Life Cycle Stages of Ameson Atlanticum Sp. Nov., a Microsporidan Parasitizing Cancer Pagurus L.” Journal of Fish Diseases 11, no. 5 (September 1988): 379–87. https://doi.org/10.1111/j.1365-2761.1988.tb00733.x."
Duboscqia aediphaga,1988,"Kettle, Douglas S., and Richard G. Piper. “Light and Electron Microscope Studies on Three New Species of Microsporidia from Saltmarsh Mosquitoes in Australia.” European Journal of Protistology 23, no. 3 (July 1988): 229–41. https://doi.org/10.1016/S0932-4739(88)80039-7."
Microsporidium acanthocephali,1988,"Loubes, C, and J Maurand. “Premieres observations sur deux Microsporidies hyperparasites d’Acanthoc phales de Poissons marins et lagunaires,” n.d., 8."
Microsporidium lotaensis,1988,"Kettle, Douglas S., and Richard G. Piper. “Light and Electron Microscope Studies on Three New Species of Microsporidia from Saltmarsh Mosquitoes in Australia.” European Journal of Protistology 23, no. 3 (July 1988): 229–41. https://doi.org/10.1016/S0932-4739(88)80039-7."
Microsporidium propinqui,1988,"Loubes, C, and J Maurand. “Premieres observations sur deux Microsporidies hyperparasites d’Acanthoc phales de Poissons marins et lagunaires,” n.d., 8."
Nosema furnacalis,1988,"Iwano H, Kurtti TJ. Identification and Isolation of Dimorphic Spores from Nosema furnacalis (Microspora: Nosematidae). Journal of Invertebrate Pathology. 1995;65:230–6."
Nosema medinalis,1988,https://oversea.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFQ&dbname=CJFD8589&filename=DWFL198802001&v=Mjg1NTVsVkw3TUlUck5Zckt4RnRuTXJZOUZaWVI4ZVgxTHV4WVM3RGgxVDNxVHJXTTFGckNVUjdxZmIrZG9GaS8=
Nosema pyrgomorpha,1988,"Lange CE, Brito JM, Henry JE. Characteristics of a Microsporidium (Protozoa: Microspora) Infecting Grasshoppers (Orthoptera: Pyrgomorphidae) in Cape Verde, Africa. J Protozool. 1992;39:494–8."
Nosema pyrgomorphae,1988,"Toguebaye, Bhen S., Alain Seck, and Bernard Marchand. “Histopathology and Ultrastructure of Nosema Pyrgomorphae n.Sp.(Microspora, Nosematidae) Parasite of Pyrgomorpha Conica Tereticornis (Orthoptera, Pyrgomorphidae).” Archiv Für Protistenkunde 136, no. 3 (January 1988): 283–292. https://doi.org/10.1016/S0003-9365(88)80028-9."
Systenostrema alba,1988,"Larsson, J. I. Ronny. “On the Taxonomy of the Genus Systenostrema Hazard & Oldacre, 1975 (Microspora, Thelohaniidae), with Description of Two New Species.” Systematic Parasitology 11, no. 1 (January 1988): 3–17. https://doi.org/10.1007/BF00006972."
Systenostrema candida,1988,"Larsson, J. I. Ronny. “On the Taxonomy of the Genus Systenostrema Hazard & Oldacre, 1975 (Microspora, Thelohaniidae), with Description of Two New Species.” Systematic Parasitology 11, no. 1 (January 1988): 3–17. https://doi.org/10.1007/BF00006972."
Thelohaniidae sp. 1,1988,"Ronny Larsson, J.I. “Isometric Viruslike Particles in Spores of Two Microsporidia Belonging to the Thelohaniidae.” Journal of Invertebrate Pathology 51, no. 2 (March 1988): 163–65. https://doi.org/10.1016/0022-2011(88)90075-4."
Thelohaniidae sp. 2,1988,"Ronny Larsson, J.I. “Isometric Viruslike Particles in Spores of Two Microsporidia Belonging to the Thelohaniidae.” Journal of Invertebrate Pathology 51, no. 2 (March 1988): 163–65. https://doi.org/10.1016/0022-2011(88)90075-4."
Ameson sp.,1989,"Anderson, I.G., M. Shariff, and G. Nash. “A Hepatopancreatic Microsporidian in Pond-Reared Tiger Shrimp, Penaeus Monodon, from Malaysia.” Journal of Invertebrate Pathology 53, no. 2 (March 1989): 278–80. https://doi.org/10.1016/0022-2011(89)90020-7."
Caudosporidae sp.,1989,"Garcia, J. J., E. I. Hazard, and T Fukuda. “PRELIMINARY REPORT OF MICROSPORIDIA IN SIMULIIDAE LARVAE FROM ARGENTINA.” Journal of the American Mosquito Control Association 5, no. 1 (1989): 64–69."
Cristulospora aedis,1989,"Khodzhaeva, L.F., and I. V. Issi. “NEW GENUS O F MICROSPORIDIAE, CRISTULOSPORA GEN. N. (AMBLYOSPORIDAE), WITH THREE NEW SPECIES FROM BLOODSUCKING MOSQUITOES FROM UZBEKISTAN.” Parazitologiya 23, no. 2 (1989): 140–146."
Cristulospora cadyrovi,1989,"Khodzhaeva, L.F., and I. V. Issi. “NEW GENUS O F MICROSPORIDIAE, CRISTULOSPORA GEN. N. (AMBLYOSPORIDAE), WITH THREE NEW SPECIES FROM BLOODSUCKING MOSQUITOES FROM UZBEKISTAN.” Parazitologiya 23, no. 2 (1989): 140–146."
Cristulospora sherbani,1989,"Khodzhaeva, L.F., and I. V. Issi. “NEW GENUS O F MICROSPORIDIAE, CRISTULOSPORA GEN. N. (AMBLYOSPORIDAE), WITH THREE NEW SPECIES FROM BLOODSUCKING MOSQUITOES FROM UZBEKISTAN.” Parazitologiya 23, no. 2 (1989): 140–146."
Heterosporis schuberti,1989,"Lom, Jiří, Iva Dyková, Wolfgang Körting, and Heiner Klinger. “Heterosporis Schuberti n.Sp., a New Microsporidian Parasite of Aquarium Fish.” European Journal of Protistology 25, no. 2 (October 1989): 129–35. https://doi.org/10.1016/S0932-4739(89)80023-9."
Jirovecia involuta,1989,"Larsson, J.I.Ronny. “Light and Electron Microscope Studies on Jirovecia Involuta Sp. Nov. (Microspora, Bacillidiidae), a New Microsporidian Parasite of Oligochaetes in Sweden.” European Journal of Protistology 25, no. 2 (October 1989): 172–81. https://doi.org/10.1016/S0932-4739(89)80028-8."
Microsporidium chloroscombri,1989,"Toguebaye, B. S., B. Marchand, and N. Faye. “Preliminary Observations on a Microsporidian Parasite of Chloroscombrus Chrysurus Linnaeus, 1776 (Teleost Fish).” Annales de Parasitologie Humaine et Comparée 64, no. 2 (1989): 157–160. https://doi.org/10.1051/parasite/1989642157."
Microsporidium sitophili,1989,Ghose S. First Record of Microsporan Infection on Sitophilus oryzae (L.) in India. Acta Protozool. 1989;28:187–90.
Nosema jirivavrai,1989,"Desser, Sherwin S., and John R. Barta. “Nosema Jirivavrai n.Sp. (Microsporea; Protozoa) from the Leech Batracobdella Picta in Ontario.” Canadian Journal of Zoology 67, no. 11 (November 1, 1989): 2640–2645. https://doi.org/10.1139/z89-373."
Nosema nisotrae,1989,"Toguebaye, Bhen Sikina, and Bernard Marchand. “Observations en microscopie électronique à transmission des stades de développement de Nosema nisotrae n. sp. (microsporida, nosematidae) parasite de Nisotra sp. (coleoptera, chrysomelidae).” Archiv für Protistenkunde 137, no. 1 (January 1989): 69–80. https://doi.org/10.1016/S0003-9365(89)80042-9."
Thelohaniida sp. 1,1989,"Garcia, J. J., E. I. Hazard, and T Fukuda. “PRELIMINARY REPORT OF MICROSPORIDIA IN SIMULIIDAE LARVAE FROM ARGENTINA.” Journal of the American Mosquito Control Association 5, no. 1 (1989): 64–69."
Thelohaniida sp. 2,1989,"Garcia, J. J., E. I. Hazard, and T Fukuda. “PRELIMINARY REPORT OF MICROSPORIDIA IN SIMULIIDAE LARVAE FROM ARGENTINA.” Journal of the American Mosquito Control Association 5, no. 1 (1989): 64–69."
Amblyospora sp. 34,1990,Hall DW. Dimorphic development of Amblyospora sp. (Microspora: Amblyosporidae) in Culex salinarius gynandromorphs. J Invertebr Pathol. 1990;55:291–2.
Amblyospora trinus,1990,"Becnel JJ, Sweeney AW. Amblyospora trinus N. Sp. (Microsporida: Amblyosporidae) in the Australian Mosquito Culex halifaxi (Diptera: Culicidae). J Eukaryot Microbiol. 1990;37:584–92."
Amblyospora weiseri,1990,"Lukes J, Vavra J. Microsporidium aedium n. sp., from the mosquito Aedes cantans. J Invertebr Pathol. 1991;58:274–6."
Hrabyeia xerkophora,1990,"Lom J, Dykova I. Hrabyeia xerkophora n.gen. n.sp., a new microsporidian with tailed spores from the oligochaete Nais christinae Kasparzak, 1973. Eur J Protistol. 1990;25:243–8."
Kabataia arthuri (= Microsporidium arthuri),1990,"Lom J, Dykova I, Shaharom F. Microsporidium arthuri n, sp., parasite of Pangasius sutchi (Pangasiidae, Siluroidea) in South-East Asia. Dis Aquat Org. 1990;8:65–7."
Microsporidium argyrogrammi,1990,"Wen J-Z, Sun C-X, Li S-P. NOTES ON THREE NEW MICROSPORIDIA (PROTOZOA, MIC- ROSPORA) FROM SEMIOTHISA CINEREAR1A BREMER et GREY AND ARGYROGRAMMA AGNATA (STGR.) (INSECTA, LEPIDOPTERA)--《Acta Zootaxonomica Sinica》1990年03期. Acta Zootaxonomica Sinica. 1990;15:257–61."
Microsporidium lesiodermi,1990,"Ghosh, S. “Studies on Histopathology and Development of a Microsporan, Microsporidium Lesiodermi, Sp. n., from a Coleopteran Insect, Lesioderma Sericorne (L.) Infesting Common Spice, Coriandrum Sativum (L.).” Acta Protozoologica 29, no. 4 (1990): 381—388."
Napamichum aequifilum,1990,"Larsson JIR. Description of a new microsporidium of the water mite Limnochares aquatica and establishment of the new genus Napamichum (Microspora, Thelohaniidae). J Invertebr Pathol. 1990;55:152–61."
Nolleria pulicis,1990,"Beard CB, Butler JF, Becnel JJ. Nolleria pulicis N. Gen., N. Sp. (Microsporida: Chytridiopsidae), a Microsporidian Parasite of the Cat Flea, Ctenocephalides felis (Siphonaptera: Pulicidae). J Protozool. 1990;37:90–9."
Nosema agnatae,1990,"Wen J-Z, Sun C-X, Li S-P. NOTES ON THREE NEW MICROSPORIDIA (PROTOZOA, MIC- ROSPORA) FROM SEMIOTHISA CINEREAR1A BREMER et GREY AND ARGYROGRAMMA AGNATA (STGR.) (INSECTA, LEPIDOPTERA)--《Acta Zootaxonomica Sinica》1990年03期. Acta Zootaxonomica Sinica. 1990;15:257–61."
Nosema semiothisae,1990,"Wen J-Z, Sun C-X, Li S-P. NOTES ON THREE NEW MICROSPORIDIA (PROTOZOA, MIC- ROSPORA) FROM SEMIOTHISA CINEREAR1A BREMER et GREY AND ARGYROGRAMMA AGNATA (STGR.) (INSECTA, LEPIDOPTERA)--《Acta Zootaxonomica Sinica》1990年03期. Acta Zootaxonomica Sinica. 1990;15:257–61."
Nudispora biformis,1990,"Larsson JI. On the Cytology and Taxonomic Position of Nudispora biformis N. G., N. Sp. (Microspora, Thelohaniidae), a Microsporidian Parasite of the Dragon Fly Coenagrion hastulatum in Sweden. J Eukaryot Microbiol. 1990;37:310–8."
Pleistophora senegalensis,1990,"Faye N, Toguebaye BS, Bouix G. Ultrastructure and development of Pleistophora senegalensis sp. nov. (Protozoa, Microspora) from the gilt-head sea bream, Sparus aurata L. (Teleost, Sparidae) from the coast of Senegal. J Fis Dis. 1990;13:179–92."
Rectispora reticulata,1990,"Larsson JIR. Rectispora reticulata gen. et sp. nov. (Microspora, Bacillidiidae), a new microsporidian parasite of Pomatothrix hammoniensis (Michaelsen, 1901) (oligochaeta, tubificidae). Eur J Protistol. 1990;26:55–64."
Vavraia sp.,1990,Atkinson CT. Fine structure and sporogonic development of a Vavraia sp. (Microsporida: Pleistophoridae) in the biting midge Culicoides edeni (Diptera: Ceratopogonidae). J Invertebr Pathol. 1990;55:105–11.
Vittaforma corneae (= Nosema corneum),1990,"Shadduck JA, Meccoli RA, Davis R, Font RL. Isolation of a Microsporidian from a Human Patient. J Infect Dis. 1990;162:773–6."
