Species Name,year_first_described,first_paper
Nosema purkeri,1978,"Krinsky, William L. “Nosema Parkeri Sp. n., a Microsporidan from the Argasid Tick, Ornithodoros Parkeri Cooley.” The Journal of Protozoology 24, no. 1 (February 1977): 52–56. https://doi.org/10.1111/j.1550-7408.1977.tb05280.x."
Pleistophora blatellae,1978,"Narasimhamurti, C C. “A New Microsporidian, Pleistophora Blatellae Sp. n. from the Malpighian Tubules of Blatella Germanica.” Acta Protozoologica 17, no. 3 (1978): 461–466."
Pleistophora sp. 9,1978,"Paperna I, Sabnai I, Castel M. Microsporidian infection in the cyst wall of Trematode metacercariae encysted in fish. Ann Parasitol Hum Comp. 1978;53:123–30."
Thelohania butleri,1978,"Johnston LB, Vernick SH, Sprague V. Light and electron microscope study of a new species of Thelohania (Microsporida) in the shrimp Pandalus jordani. Journal of Invertebrate Pathology. 1978;32:278–90."
Toxoglugea tillargi,1978,"Voronin V. The microsporidium Toxospora volgae, new genus new species from Chironomidae larvae of the genus Corynoneura. Parazitologiya. 1993;27:148–54."
unnamed microsporidium in Agapornis roseicollis,1978,Novilla MN. Microsporidian infection in the pied peach-faced lovebird (Agapornis roseicollis). Avian Dis. 1978;22:198–204.
Amblyospora macrococcus,1979,"Voronin V. THE ULTRASTRUCTURE OF 2 MICROSPORIDIAN SPECIES OF THE GENUS AMBLYOSPORA (MICROSPORIDIA, AMBLYOSPORIDAE) FROM THE MIDGE LARVAE (DIPTERA, CHIRONOMIDAE). Tsitologiya. 1991;33:67-."
Anncaliia meligethi (= Nosema meligethi),1979,"Lipa JJ, Hokkanen HMT. Nosema meligethi I. & R. (Microsporida) in populations of meligethes spp. in Europe. Biocontrol Sci Technol. 1992;2:119–25."
Geusia gamocystis,1979,"Rühl VH, Korn H. Ein Mikrosporidier, Geusia gamocysti n. gen., n. sp., als Hyperparasit bei Gamocystis ephemerae. Archiv für Protistenkunde. 1979;121:349–55."
Glugea atherinae,1979,"Berrebi, Patrick. “Etude ultrastructurale de Glugea atherinae n. sp., microsporidie parasite de l’athérineAtherina boyeri Risso 1810 (poisson téléostéen) dans les lagunes du Languedoc et de Provence.” Zeitschrift fur Parasitenkunde Parasitology Research 60, no. 2 (1979): 105–122. https://doi.org/10.1007/BF00927968."
