,species,hosts_natural,hosts_experimental,infection_site,infection_site_formatted
663,Unnamed Nosema sp. (possibly Endoreticulatus schubergi) (3),,,,
664,Unnamed Nosema sp. 1,Antheraea mylitta,,,
665,Unnamed Nosema sp. 2 (1),Pieris rapae,,,
666,Unnamed Nosema sp. 2 (2),,,,
667,Unnamed Nosema sp. 3,Spodoptera litura,,midgut; nervous; muscle; labial glands; gonadal; epidermal; tracheae; Malphigian; adipose,midgut; nervous; muscle; labial glands; gonadal; epidermal; tracheae; Malphigian; adipose
668,Unnamed Nosema sp. 506 (1),Diatraea grandiosella (1); Ostrinia nubilalis (2); Diatraea crambidoides (3),,egg; ovarian,egg; ovarian
669,Unnamed Nosema sp. 506 (2),,,,
670,Unnamed Pleistophora sp.,Epinephelus chlorostignei,,,
671,Unnamed sp.,Hypera postica,,hindgut; fat body; Malpighian tubules; salivary gland tissue (larva),hindgut; fat body; Malpighian tubules; salivary gland tissue
672,Unnamed Vairimorpha sp.,Hellula undalis,,midgut; adipose; Malphigian; hypodermal; muscle; gonadal,midgut; adipose; Malphigian; hypodermal; muscle; gonadal
673,Unnamed Vittaforma-like sp.,Homo sapiens,,,
674,Vairimorpha austropotamobii,Austropotamobius pallipes,,skeletal muscle tissue of male and female host,skeletal muscle tissue of male and female host
675,Vairimorpha ceraces,Cerace stipatana,,Midgut epithelium; muscle; fat body; derma cells,Midgut epithelium; muscle; fat body; derma cells
676,Vairimorpha cheracis,Cherax destructor,,muscle; intestinal; ovarian,muscle; intestinal; ovarian
677,Vairimorpha hybomitrae,Hybomitra sp.,,fat body; sarcoplasm of striated muscles; hypodermis,fat body; sarcoplasm of striated muscles; hypodermis
678,Vairimorpha imperfecta,Plutella xylostella,,systemic infection; fat body (heavily infected); midgut epithelium (havily infected),systemic infection; fat body; midgut epithelium
679,Vairimorpha invictae,Solenopsis invicta,,,
680,Vairimorpha necatrix BM,Bombyx mori,,midgut; Malpighian tubules; fat body; silk glands; muscles; testis,midgut; Malpighian tubules; fat body; silk glands; muscles; testis
681,Vairimorpha ocinarae,Ocinara lida,,midgut epithelium; midgut muscle; Malphigian,midgut epithelium; midgut muscle; Malphigian
682,Vairimorpha plodiae,Plodia interpunctella,,salivary glands; midgut; Malpighian tubules; ovary; fat body,salivary glands; midgut; Malpighian tubules; ovary; fat body
683,Vairimorpha sp BM,Bombyx mori,,,
684,Vairimorpha sp. (authors proposed Nosema mesnili and Microsporidium mesnili be merged to this one species),Pieris rapae,,gut epithelium; Malpighian tubules; salivary glands; fat body,gut epithelium; Malpighian tubules; salivary glands; fat body
685,Vairimorpha sp. (NIS M12),Bombyx mori,Spodoptera frugiperda,fat body (primary infection site); silk glands; muscles,fat body; silk glands; muscles
686,Vairimorpha sp. 1,Trichogramma chilonis,,flight muscles; nervous system; egg,flight muscles; nervous system; egg
687,Vairimorpha sp. 2,Plutella xylostella,,systemic infection; fat body (most infected); midgut; salivary glands; Malpighian tubules; egg,systemic infection; fat body; most infected; midgut; salivary glands; Malpighian tubules; egg
688,Vairimorpha subcoccinellae,Subcoccinella vigintiquatuorpunctata L.,,midgut; gonad; Malpighian tubules; fat body,midgut; gonad; Malpighian tubules; fat body
689,Vavraia anostraca,Artemia sp.,,muscles; haemocele; intestinal epithelium,muscles; haemocele; intestinal epithelium
690,Vavraia cyclocypris,Cyclocypris ovum,,Adipose; connective tissue,Adipose; connective tissue
691,Vavraia lutzomyiae,Lutzomyia longipalpis,,midgut; Malphigian,midgut; Malphigian
692,Vavraia mediterranica,Crangon crangon,,muscle,muscle
693,Vavraia parastacida (1),Cherax tenuimanus; Cherax quinquecarinatus; Cherax quadricarinatus; Cherax albidus,,locomotor muscle; cardiac muscle; gastrointestinal muscles; gills; hepatopancreas; antennal gland; eye; connective tissue,locomotor muscle; cardiac muscle; gastrointestinal muscles; gills; hepatopancreas; antennal gland; eye; connective tissue
694,Vavraia parastacida (2),,,,
695,Vavraia sp.,Culicoides edeni,,fat body,fat body
696,Vittaforma corneae (= Nosema corneum) (1),Homo sapiens,athymic mice,eye cornea (of homo sapiens); liver (of athymic mice),eye cornea; liver
697,Vittaforma corneae (= Nosema corneum) (2),,,,
698,Wittmannia antarctica,Kantharella antarctica,,,
699,Zelenkaia trichopterae,Halesus digitatus,,Adipose,Adipose
