,species,hosts_natural,hosts_experimental,infection_site,infection_site_formatted
455,Nosema salivaria,Anopheles gambiae,,,
456,Nosema scripta,Chrysomela scripta,Leptinotarsa decemlineata,fat body; midgut; hindgut; muscles; central nerve cord; Malpighian tubules; tracheal end cells; ovary,fat body; midgut; hindgut; muscles; central nerve cord; Malpighian tubules; tracheal end cells; ovary
457,Nosema semiothisae,Semiothisa cinercaria,,General infection,General infection
458,Nosema sp. 28,Galleria mellonella,,,
459,Nosema sp. 29,Listronotus bonariensis,,,
460,Nosema sp. 30,Sceliodes cordalis,,,
461,Nosema sp. 31,Spodoptera depravata,Antheraea eucalypti,,
462,Nosema sp. 32,Ectomyelois ceratoniae,,Malpighian tubules,Malpighian tubules
463,Nosema sp. 33,Helicoverpa armigera,,midgut; Malpighian tubules; gut muscles,midgut; Malpighian tubules; gut muscles
464,Nosema sp. 34,Chorthippus curtipennis,,gastric caeca; alimentary tract; gonads; egg,gastric caeca; alimentary tract; gonads; egg
465,Nosema sp. 35,,,,
466,Nosema sp. 36,Spodoptera depravata,Antheraea eucalypti,,
467,Nosema sp. 37,Tyria jacobaeae,,,
468,Nosema sp. CmM2,Cnaphalocrocis medinalis; Bombyx mori,,,
469,Nosema sp. CS,Chilo suppressalis; Bombyx mori,,,
470,Nosema sp. from Operophtera brumata,Operophtera brumata,,Adipose,Adipose
471,Nosema sp. from Orthosia cerasi,Orthosia cerasi,,Silk glands; fat body,Silk glands; fat body
472,Nosema sp. from Orthosia cruda,Orthosia cruda,,Silk glands; fat body,Silk glands; fat body
473,Nosema sp. from Tortrix viridana,Tortrix viridana,,Adipose,Adipose
474,Nosema sp. HA,Bombyx mori,,midgut; Malpighian tubules; muscle; fat body; silk glands; hemocytes; nerve tissue; gonads,midgut; Malpighian tubules; muscle; fat body; silk glands; hemocytes; nerve tissue; gonads
475,Nosema sp. HR,Histia rhodope; Bombyx mori,,alimentary canal; silk glands; fat bodies; malpighian tubules; muscle; gonad,alimentary canal; silk glands; fat bodies; malpighian tubules; muscle; gonad
476,Nosema sp. MC,Megacopta cribraria,,midguts; silkglands; gonads; muscle; fat body; Malpighian tubules,midguts; silkglands; gonads; muscle; fat body; Malpighian tubules
477,Nosema sp. MPr,Pieris rapae,,,
478,Nosema sp. PA,Phyllobrotica armata,,,
479,Nosema spodopterae,,,,
480,Nosema steganacari,Steganacurus striculus,,gut-wall,gut-wall
481,Nosema telengae,Laspeyresia pyrivora,,systemic infection (except hypodermis and nervous tissue),systemic infection
482,Nosema transitellae,Paramyelois transitella,,"Fat and silk of salivary glands; to a lesser extent: midgut;
 muscle; and nerve tissue",Fat and silk of salivary glands; to a lesser extent: midgut; muscle; and nerve tissue
483,Nosema trilophidiae,Trilophidia annulata; Oedaleusdecorus,,midgut; gastric caeca; salivary glands; gonods; hemolymph; fatbody; nervous tissue; tracheae and Malpighian tubules,midgut; gastric caeca; salivary glands; gonods; hemolymph; fatbody; nervous tissue; tracheae and Malpighian tubules
484,Nosema tyriae,Tyria jacobaeae,,gut wall; silk gland; fat body; adipose tissue; systemic infection,gut wall; silk gland; fat body; adipose tissue; systemic infection
485,Nosema varivestis,Epilachna varivestis,,,
486,Nosema wistmansi,Operophtera brumata,,oocytes,oocytes
487,Nosema yponomeutae,Yponomeuta padella; Yponomeuta evonymella,,adipose tissue; intestines (lumen and epithelium); oenocytes; lymphocytes; muscles; tracheal matrix,adipose tissue; intestines; lumen and epithelium; oenocytes; lymphocytes; muscles; tracheal matrix
488,Nosemoides simocephali,Simocephalus vetulus,,gut,gut
489,Nosemoides syacii,Syacium micrurum,,stomach (primary site); liver; intestine,stomach; liver; intestine
490,Novothelohania ovalae,Ochlerotatus caspius,,adipose in larvae,adipose in larvae
